review,sentiment,word_count,length_bucket,char_count,char_length_bucket
Its not wort it the time and those prices 30 dollars for a cupcake cheessecake mini and a mini tiramisu its crazy and the flavor not good its just the name,negative,31,25-50,162,<500
the workers were so kind the milk tea  strawberry soft serve was AMAZING they were so delicious i highly recommend this place its SO GOOD,positive,26,25-50,145,<500
Im a pretty experienced ice cream eater and after my many years of eating ice cream this is my new favorite place Great ice cream delicious cone that complements the ice cream and great service I tried the thai tea french toast pumpkin pie sweet potato pie and salted caramel And these are the most accurate flavors I have ever had The french toast actually tastes like french toast I felt like I was at brunch except I was actually eating ice cream And they even added maple syrup on top of the scoop I thought it was a nice touch With the thai tea flavor they also added condensed milk on top Each ice cream flavor here is truly perfection Creamy and flavorful And the flavors actually taste like what they say they are Also the array of flavors here are vast and original I have never seen a sweet potato pie flavor And it is exactly what sweet potato pie would taste like too The cone here was also beautifully crafted They are made in house and go well with the ice cream Outside there is seating with cute lights And theres a mural of an ice cream cone too Very IGable Also the staff here are very friendly and didnt get irritated by my sampling They even offered me more samples after I had ordered my ice cream They never seemed annoyed or anything,positive,237,200-250,1298,1000-1500
Went early and hoping for freshly baked pastries however the pastries were cold and tasted day old,negative,17,<50,99,<500
The Donut Bar was not something we had planned to visit especially given the time of day but we decided to get some coffee and a donut Glad we did We got the donut stuffed with oreo and it was DELISH Not only was it the right size and not too much donut it paired very well with the coffee My husband had a donut left the next day and he said the other donut wasnt as good the second day but i think fresh is best earlier in the day  especially when there is a lot more variety Location is a bit small but its not like you sit and eat donuts at dunkin donuts we take them to go I hope to try some other donuts next time were in Vegas,positive,134,100-150,647,500-1000
Ive always wanted to try their birthday cake so when I saw they had a birthday cake shake I saw my opportunity to try it without spending 50 on a small cake 10 on a 12 oz shake that I think they used prepackaged birthday cake truffles do they even make the truffles fresh in house It was okay I got a floury taste which was kind of weirdunexpected For 10 Cant say this was totally worth it,negative,78,75-100,413,<500
These donuts were delicious The customer service was over the top great The little court yard out back gave us a nice place to eat without being in others space I am sad were not in Vegas long enough to go twice I would highly recommend this place Be mindful that they are only open until they sell out,positive,59,50-75,312,<500
Waiting lines are too long and the employees are way too chill to take care of you In the end the quality or the taste of the products are way below expectations Go somewhere else,negative,35,25-50,182,<500
The pastries I have gotten from here are amazing they are fresh light and the flavor is spot on I especially was impressed with the taro bun So why four stars Two things for me knocked this place first there was a terrible smell in the store when I was there like rotten eggs or something Even with a face mask on it was hard to stand in line my husband went outside to wait Second I tried their salted cream iced coffee and was not terrible impressed had a weird fake sugar taste I would rather go next door for my drink and stick to baked goods here and hope the smell was a one off,positive,117,100-150,603,500-1000
This place is a hidden gem They had fun unique kinds of ice cream and had a doughnutice cream sandwich that was unbelievable On top of that the owner was thanking every single customer walking in Talk about amazing customer service Thank you Novel Ice Cream Im going to tell all of my family and friends about you guys,positive,59,50-75,327,<500
The music is WAY TO LOUD You have to scream what you want The donuts are tasteless How can that be My grandson would not eat them and hes 7t they are the worst tasting donuts I have ever eaten they have no flavor And the cost is ridiculous for a tasteless donut,negative,53,50-75,271,<500
The line can get long and its pretty slow They only have 2 cashiers if they are both working and people myself included like to ask a million questions about each item Luckily when I came here the first time there wasnt a line Friday around 830pm and it was pretty quick We purchased a 6in round red velvet cake the day before for my bosses birthday They will write anything you want on it for free While there I took advantage of having no line and also purchased a carrot cake cupcake not my favorite and the lobster tail WOW I figured the lobster tail would be pretty lightweight but considering its a custardwhipped cream mix I should have known This thing was dense flaky and delicious Honestly it almost had too much filling I took most of it out and picked around it because I felt guilty for how fattening it probably was but its definitely worth trying and splitting with 1 or 5 people  Since we paid for the cake the day before we didnt have to wait in the horribly long line come Saturday evening before dinner we got there just before our 730pm reservation at another place nearby Thankfully we paid beforehand because the line was INSANELY long Luckily the cake ready to go and packaged nicely All in all it took just a few minutes to get the cake and head out the door People looked pretty upset that we walked straight up but hey we already paid for it The cake was delicious moist and flavorful Everyone enjoyed it and the price was definitely fair for the size I think we paid 3640,positive,281,250-300,1549,1500-2000
Went in at a nonbusy time Two gentlemen working the counter completely ignored my family and we couldnt place an order A family walked in behind us and was immediately served by calling the number system which clearly said was for busy times only and there was no one there else waiting to be served Ok we grabbed a number and as soon as we approached the counter the other guy just left and went to talk to the other worker servicing the family behind us We left without placing an order The only conclusion I can reach is that they are racists that work at this store as my family is a mixed race family and the people behind the counter were white and seemed to be eager to help the white family who came in after us Please be aware of this if you are thinking about trying out this bakery,negative,153,150-200,801,500-1000
Basically the best thing since sliced bread Definitely worth the trip outside of Champaign,positive,14,<50,93,<500
Amazing ice cream A great Young man by the name of matt severed me very funny guy Great customer service definitely coming back,positive,23,<50,130,<500
I stopped by here for a light breakfast while wandering around the Venetian I had high expectations due to the reputation of the bakery and I was not disappointed I ordered a chocolate croissant and a coffee macaron Honestly this was one of the croissants Ive ever had Every bite was a perfect combination of flaky airy tender layers with plenty of chocolate The macaron was deliciously chewy with wonderful coffee flavor Speaking of coffee it was pretty good as well Honestly though I was more focused on the food and wasnt blown away by the beverage The location was a little difficult to find Its not near the Bouchon Bistro which is kinda confusing but tucked away behind an escalator on the main casino Im sure there is always a line especially for breakfast However the line moved pretty quickly Its a little more expensive but youre paying for quality and its definitely worth it I cant wait to come back and try more if the delicious pastries,positive,169,150-200,985,500-1000
Absolutely Phenomenal As an ice cream connoisseur I can say that this is one of the best ice creams I have ever had The Toffee Bourbon and Madagascar vanilla were absolute heavenly masterpieces Stop by and you will not be disappointed A bit hard to locate  but they are next nestled next to third space on Grand avenue,positive,59,50-75,325,<500
The Cake Boss should be ashamed of his store The service was horrible and we never had any cake We waited 45 mins,negative,23,<50,116,<500
Five stars on the service and bakery However their food is way too salty I ordered the ham  cheddar omelette and the ham is the saltiest ham Ive ever had in my life This is way beyond the level of salt a human being can have for a day to stay healthy And their mixed green salad on the side is also salty  due to their dressing Just a warning,negative,72,50-75,351,<500
I met up with a couple of friends while on my somewhat annual Christmas trip to Charlotte My friends were late due to traffic and laundry so I sat in Amelies on a couch by the door for about an hour yeah I know and the staff didnt even care THIS IS A GOOD THING I didnt get any dirty looks for not buying anything nor did I get asked if I wanted anything They just let me sit there and wait And people watch The vibe of Amelies is really laid back One of my friends cant remember who sorry said that it was like a little piece of Boone in Charlotte I wouldnt really say all that but I definitely appreciated the mix of clientele from people getting off of work from their corporate jobs to hipsters coming to hang out to young parents coming to pick up snacks to whoever else happened to walk in to get anything ranging from coffee to a loaf of French bread I stayed for quite a while with my friends again not a problem with the staff at all and was good with it all until about 10 pm where the crowd seemed to gravitate more towards groups kids I can say kids right who are excited to not be at home with their parents and people dressed up for the skanky Charlotte bar scene Thats when my friend and I finally took our queue to leave But not before having a cup of awesome coffee a croque monsieur a fruit tie a salted caramel brownie a cup of earl gray and a croissant I told you I was there for a while Probably like 5 or 6 hours The food was all delicious The croque monsieur had a little more mustard than I wouldve liked but Im not a fan of mustard The salted caramel brownie was AMAZING It was perfectly sized and had equal parts salted caramel and fudgy brownie The croissant just tempted my from the display case so I HAD to eat it The fruit tie While ginormous I prefer the kolochies totally butchered that word but hey Im not Polish made by the locals in Chicago Final verdict Ill be bringing Joe the next time we go to NC and the food is kinda pricey I guess and nothing out of this world except that brownie but the atmosphere is totally worth it,positive,407,300- 500,2148,2000+
Overpriced Low Value Long wait times Poor quality If these things describe your coffee go here,negative,16,<50,96,<500
I had their pink sprinkles and creme brulee There was nothing special about them The filling for the creme brulee was one sided and minimal The pink sprinkles one was not even moist on the inside It was very dry And even with a mustache the lady called me maam lol,negative,51,50-75,272,<500
The cashier guy was rude He was supposed to say something like hello morning But he just stared at me so I felt like he must have been broken up yesterday Of course coffee came out in silence Overall this place can be nice but services sometimes suck,negative,48,25-50,261,<500
They offered a large selection of pastries and beverages So many tea and coffees that are sealed with plastic and you shake them up Grab a tray and start loading up in self serve pastries Since this The reason for the low rating 1 Long wait for 2 drinks So many people but it took a long time 2 1 Bathroom was out of order leaving one one in operations Super dirty at 1130 am Wet floor and paper towels everywhere No seat covers for the kids Bathroom was totally neglected 3 Only one napkin dispenser and 1 trash bin available Considering the size of space there should be one more Please take this feedback to improve your operations Since this is the first one in Vegas I understand you may need to get up to par with your LA locations but please do better in all areas,negative,148,100-150,793,500-1000
Delicious Got the pistachio and matcha ice cream Wife got the taho Highly recommend the taro taho,positive,17,<50,101,<500
I got two flavors Vietnamese coffee and Butter pecan in a waffle cone The Vietnamese coffee flavor was spot on It had specks of coffee grounds It was perfect because the coffee flavor wasnt too strong and it wasnt too sweet The butter pecan was really good too I would definitely go back to try different flavors I also got a cup of coffee which was not good Dont get coffee here Stick to the ice cream,positive,77,75-100,416,<500
The ice cream was delicious the flavors were creative without being too wacky and the portions were generous,positive,18,<50,111,<500
Such a cute place and the ice cream was great I was going to get a few toppings but the girl didnt ask and I felt rushed to the register Other than that everything was perfect,positive,36,25-50,179,<500
Quite the cafÃ and bakery with an eclectic twist A bit overpriced yet the sandwiches and soup were devine I can see myself spending lots of time here Two thumbs up,positive,31,25-50,168,<500
These were the worse macarons Ive had in a long time Smh Extremely HARD and for 2 a pop,negative,19,<50,92,<500
Place was horrible First and foremost we grabbed a number which was B89 and waited over 2 hours for our number to get called One of the most disorganized companies I have ever seen I understand things were busy but the way of doing business was horrible and we noticed a lot of people leaving purely because of the wait Second once we finally got our number called I was informed the pie that I had ordered 4 hours earlier was not made The manager came out and spoke to me and before even apologizing blamed it on me because I had not prepaid She tried to explain how the process worked if I would have prepaid for the pie but did not apologize or offer a solution outside of waiting another 40 minutes for my pie to be made Absolute worst customer service I have ever seen from a manager On top of that prepaying for my pie was never even provided to me as an option which only made things worse Would not recommend this to anyone unless you are looking to waste a few hours on the strip and if you dont want to get your order correct,negative,201,200-250,1056,1000-1500
Not sure what all the hype is or why Mikey Chen recommended this place we came here at 11am and bought 4 donuts one of which was the highly hyped crÃme brÃlÃe They all tasted very dry and stale Not worth paying 3 a piece Maybe it was an off day Whatever it was we wont be coming back nor recommend this to anyone,negative,64,50-75,327,<500
Quick service clean and amazing ice cream and macarons The cookie cup is a must have when visiting here The ice cream macaron and toasted marshmallow is really a combination like no other Each ingredient complimented the other Already wanting to go back,positive,43,25-50,262,<500
Ive been hearing about the amazing sweets served in this establishment in New York and Los Angeles Since we wee near the area showing out of towners around we thought Why not Located in Cosmopolitan Hotel in between Momofoku and Eggslut the establishment is pretty small and only has one bench for a couple of people to sit on There is a bright pink neon sign that signals you have reached your destination The menu is shown above the cash registers They offer various things from soft serves milkshakes prepackaged cookies and different sweets Thankful there was no line we decided to try a cereal soft serve with corn flakes After ordering and paying at the cashier you wait by the window on the right for them to serve you your order Orders came quick but I would hope so considering they are basically just preparing ice cream in a cupprepackaged desserts in the front The soft serve was very underwhelming Yes It tasted like cereal milk That was the whole point However for 10 Not worth it The portion was very small and the corn flakes tasted bland and somewhat gross If you like them however you would be very thankful that probably 13 of the cup is filled with corn flakes in the bottom as well as topped on the soft serve For all the hype for this establishment I was honestly expecting way more Maybe I would try the prepackaged pastries and cookies if they were offered to me However I would not be returning Very disappointing,negative,260,250-300,1481,1000-1500
I have been to Masons twice now and both times I have not been impressed I went a second time because I thought I was crazy for not loving them like so many people do I had Pumpkin Pie which tasted okay as a sample and my boyfriend had Butter Pecan They both lacked the creamy texture that you would expect from ice cream and tasted more like freezerice and fell apart as we ate it The ice creams taste like they barely have any of the main ingredient in them seriously lacking flavor It was a sad day for our tastebuds and my waistline because I finished eating it since I paid for it and didnt even enjoy it On the bright side they play good music have cool decor and a nice vibe and color changing spoons Ill stick to Mitchells and Sweet Moses,negative,146,100-150,766,500-1000
flavors were much too sweet for me and nothing stood out about the texture except that there too many add ins but maybe i have been getting the wrong flavors usually been somewhat disappointed after my visits here but im a harsh critic,negative,43,25-50,239,<500
Maybe my expectations were too high after so many good reviews and the recent article in the Plain Dealer but after going with my family of 5 and having several different flavors amongst us we were not impressed There was a noticeable waxy tastefeel that was more noticeable with some flavors than others Not a stop that we will make again,negative,61,50-75,347,<500
Friend introduced me to this place bar on one side with good ambience and a delicious ice cream parlor on the the other Ask Sebastian for a recommendation if you cant make up your mindmade an adult Sunday that was delicious Short line out the door but it moves fast Clean and friendly,positive,53,50-75,293,<500
So Handels changed their cup design for their hot fudge sundaes The cups are now designed to hold them in your hand easier but there is definitely less ice cream in them Yet they still charge the same price Not cool,negative,41,25-50,220,<500
Go and get the Lemon Blueberry its a seasonal cupcake Key Lime Chocolate Marshmallow and Red Velvet cupcakes all came home with me in a box My favorite was the Chocolate Marsmallowmmmm very chocolately with a sweet sugary bite of marshmallow in the centerthe frosting was perfection Key Lime had meringue swirled on top It was tart but not my fave The red velvet was devoured by the kids and the lemon blueberry was delish The last time I visited a Sprinkles was when they had their grand opening in Scottsdale Lots of super young kids working behind the counter that didnt know what they were doingand I wasnt too impressed with the baked goods So I never went back But now with the kids in tow how could we pass up a bakery I was so happy that despite the number of employees behind the counter service was speedy friendly and helpful and the cakes were delicious If youre not into cupcakes the sweltering heat might force you to come in and have some icecream or have some cake and icecream Just imagine youre at a birthday party Located in the new Linq shopping area near the HighRoller you cant miss the huge sign,positive,205,200-250,1148,1000-1500
This has to be the best ice cream place Ive ever been to and coming from a pregnant woman that says a lot It was a really cool environment inside with the factory right behind the store where you can look in through a glass wall I got a root beer float and they use homemade whipped cream which was absolutely INCREDIBLE Best ever Hands down Staple of downtown Cleveland,positive,70,50-75,379,<500
Found this place after eating AYCE Sushi There is always place for desert with me Ill let you guess how I found this place It was via Yelp I was towing a trailer with my car on it so it was a little bit hard to manuver around the side streets GPS was taking me but when I found it I just parked it right in the front Their lot was not big enough for my truck and trailer Plus that evening when I went it was packed I got the peanut butter chocolate ice cream sundae with whip cream Man it was good and rich I loved every last scoop of it The pricing here is fantastic Its not over priced at all I almost thought the price was wrong for a second but it wasnt Other then that I will be coming back here 100 when Im in Cleveland and want pretty damn good ice cream Ive ever had,positive,161,150-200,796,500-1000
Great ice cream great donuts great donut melt  so glad we stumbled upon this place We will definitely be back for more,positive,23,<50,124,<500
Listen if you see a huge line dont wait if the line is ok wait and try the pastries I just promise one thing you wont be impressed at least I wasnt These are the prices for what I ordered  Large Cannoli 395  French NapoleÃ³n 750  and the total was 1239  btw they only accepted cash  So disappointing because my expectations were a bit too high I guess,negative,73,50-75,369,<500
This ice cream shop does have some neat flavors to choose from like Cinnamon Toast Crunch and Mango but it is simply just a good scoop of ice cream nothing spectacular I had a cookie added to mine for their signature macaron ice cream sundaes but sadly the cookie was just the top half of it and it tasted stale,negative,60,50-75,314,<500
I just met you Jack Frost but I love you Came in around noon and had a few dozen different flavors to choose from I opted for blueberry jelly and you were so nummy Normally I wouldnt use a word like nummy but its the right word to use in this situation I also like that the donuts are a tad on the small side More taste and fewer calories at least I can hope,positive,75,50-75,370,<500
Yep  this place deserves every star I gave it and every star everyone else gave it Ive had the donuts before when people at work had them and always meant to go in and grab some of my own but never made it there till this morning I know some people have an issue with the location  old building  but people Jack Frost only cares about the quality of the donuts and its apparent  theyre SO good Got a half dozen this morning and an apple fritter dont worry Im going to share Donuts included blueberry pumpkin peanut butter chocolate caramel apple reeses peanut butter cup and salted caramel Pumpkin amazing Blueberry  amazing The apple fritter is the size of my head if not bigger The 6 donuts were in a smaller box apple fritter in a box made for a dozen granted it didnt take up the entire box but still huge All in all spent 925 and it was mainly because of the fritter 12 dozen is less than 6 dollars Amazingly fresh donuts amazingly cheap prices sweet people behind the counter  whats there not to love PS bring cash or a check no creditdebit here,positive,204,200-250,1135,1000-1500
So I cant comment on the food from here but the service we received here today was nothing short of inexcusable Im not one to post rant reviews as Im in the service industry out here and realize most are bs We came in I the bakery and pulled a ticket Looking in the case at all the baked goodies and literally 30 seconds had gone by and they called the number before we could see what number we where We asked a question about something in the case and the clown behind the counter turned in to a ass responding in a aggressive tone I have already called that number three times what do you want Now mind you we have been in the store a whopping 3 minutes The guy proceeds to be a dick with the manager standing right beside him and acts like everything is fine When she realizes we are unhappy her only response was maybe he is having a bad day I get it you dont reprimanded employees out on the floor but you dont pretend like nothing is wrong I could care less if your having a bad day Welcome to the tourist industry buddy put on a smile and pretend to be nice to the people that come in to spend money We had family that came into town a had two things she wanted to do while she was here One was to go to this place Shame on the clown behind the counter and shame on the manager for not being able I do her job,negative,266,250-300,1340,1000-1500
There ice cream is definitely above average but I resent having to take out a loan to pay for it There is better ice cream for much less,negative,28,25-50,138,<500
Fresh bread FRESH BREAD This is what you keep hearing when you seat there for a while having your coffee and more One guy comes out the kitchen saying fresh bread and all the staff answers I should say screams FRESH BREAD  This is kind of funny at the beginning but after seating there for half an hour it gets on your nerves Besides that I got a latte and didnt think that was the best one Ive ever had In fact it was served in a to go cup and it felt not full like only 34 Anyway nothing special We got the chocolate truffle cake that we shared It tasted fridgy meaning not made that day but probably refrigerated for 1 night or so Chocolate used to bake it was not high quality This bakery is located on Spring Mountain right in the middle of Chinatown in a new plaza The design of the place is nice staff very busy I understood its a chain coming from California When you come in either you line up to get coffee and pastries or you take a tray and you help yourself with different kind of breads Nice concept but to me they should improve the quality  This place could be a nice spot to hang out with friends if it was better,negative,225,200-250,1171,1000-1500
Been to many ice cream shops from coast to coast and by far this chain has the best chocolate shakes Its trouble we live up the street from this place,positive,30,25-50,156,<500
A little difficult location to find but once we arrive we knew it would be a great time The flavors of ice cream are amazing and theres a great variety We went with mini daddys and still left satisfied The price is reasonable for this decadent and clinically insane dessert and shows for a great treat during summer Leaving very happy,positive,61,50-75,346,<500
I went to the cupcake ATM so cooooool by the way because I didnt feel like waiting in line inside There were about 10 choices of cupcakes to choose from and I picked the sprinkles It looked great frosting was caked in sprinkles so I didnt hesitate to dig in Wellit was terrible The frosting was almost inedible sweet where all I could taste was powdered sugar The cake portion was flavorless even though it was laced with sprinkles I ate half and threw it out wasting a very valuable 450 on a less than mediocre cupcake On the plus side the packaging was really cute,negative,106,100-150,586,500-1000
Dont send your child in alone The girl behind the counter told our grandson the machine was broken so his kid cup was filled only onethird of the way about 5 tablespoons and watery although he still paid full price and tipped When he returned to the car he was obviously disappointed so I went in to ask about it The shift manager told me thats how they come now and then added Have a nice day I guess rudeness and minion size portions is how they roll As for us we walked over to Cullivers where my grandson got a real size cup of ice cream with great customer service,negative,111,100-150,586,500-1000
I got the cheesecake Not only was it not worth the moneynearly 12 for a small cheesecake it was so dry I couldnt get past the third bite I was so bummed,negative,32,25-50,160,<500
Cupcakes very drydisappointing Was really looking forward to some good cake on my birthday,negative,14,<50,97,<500
Was here for a baby shower and they had a nice private room set up The food and sandwiches were delicious and the pastries and sweets were to die for We even went in stood in the long line to grab some treats to take home Macaroons and the salted caramel brownie were mouth watering,positive,55,50-75,286,<500
I had the strawberry cupcake and my cousin had red velvet For me the strawberry cupcake didnt have any strawberry flavor only the icing They asked if we wanted them separate we said yes So she just put them in a bag that flipped over All the icing which was the best part of the cupcake was on the side of the bag Usually we get a box for a single cupcake but not that day 53117,negative,77,75-100,389,<500
We walked in to Mary Coyles at 845pm on 1230 excited to eat some ice cream after a particularly crappy day When we got to the counter to order our Hot Tin Roof and Hot Copper Roof we were told all of the toppings were already put away and that we could only order scoops Very disappointing Why say youre open until 9 if youre really closing before then We felt like an inconvenience to the two young ladies rolling up the mats and wiping down the entire restaurant while we hurriedly ate our ice cream Very good ice cream though,negative,101,100-150,542,500-1000
The owners and staff are extremely friendly and nice Ive been 3 times since they opened last week The shakes are sooo yummy I highly recommend the Cosmo  Wanda and Scooby Snacks,positive,33,25-50,184,<500
This is pretty much the best place for hand made ice cream If you are going there one should definitely try their dough melt It is the best concept ever They will put a scoop of your choice of flavor between a hot bun The combination is OMG This is a must try if you are in the city,positive,59,50-75,288,<500
Great little place but its not a place to hang out as theres no inside seating Theres a few benches and grassy area but the storefront is located at the entrance of the strip mall Theres 100s of flavors to choose from and they even have flavors of the month You can ask for a sample especially for those with vague descriptions like Graham Central Station Prices arent cheap about 350 for a scoop It was a nice scoop and you can even say a generous scoop but its still one scoop of ice cream Was it the best ice cream Ive ever had Hmm not sure It was good and it hit the spot on a warm Memorial Day evening,positive,121,100-150,632,500-1000
If youre thinking of coming here because you fell in love with Bouchon Bakery in Napa as I did dont The macarons and other baked goods dont hold a candle to the flagship shops the macarons were tough and dry Whats worse is the service here is absolutely terrible The woman that was helping me was rude and made me feel like she was doing a favor by taking my order and packing up my notso goodies Save your time and money,negative,82,75-100,438,<500
Way overpriced and the desserts didnt taste as good as I expected I didnt see pricing for anything got to the register it was over 50 for 5 items I expected so much more and was sorely disappointed Ive had better from the local grocery store bakery,negative,47,25-50,257,<500
I never got to try the donuts because the manager at this establishment was very rude We were so excited to try these donuts so we showed up at 7 am on Sunday morning because when we called the day before the employee told us that we could preorder and pick up at 7 am However we decided to just to go right when they open So once we got there we were greeted rudely by the manager telling us we werent allowed in to buy any donuts since they dont open until 8 am We then decided to call to make an order on the phone which the employee told us that we could pick it up right away even though they havent opened So we decided to place the order and were so excited waiting outside for our donuts however we waited for 40 mins and no one came out We decided to give them a call back and the employee stated that the manager wouldnt allow him to sell us the donuts at that point we were fed up and decided to leave because they were rude and unprofessional They should have given us a call back instead of making us wait for 40 mins Now I will never go back to an establishment that has bad customer service even if they are rated highly,negative,228,200-250,1151,1000-1500
I went this morning for a coffee and an almond croissant It wasnt busy but the girl working the cash forgot to give me the croissant so I had to stand there being ignored until one of her coworkers clued in to the fact that I was waiting for something The pastry was good The coffee was pretty blandI dont think it was an execution thingmore of a beans thing Im only providing feedback because I expect more from a Keller joint,negative,82,75-100,443,<500
This place was absolute crap Got a stale cookie a stale cupcake and a mediocore cheesecake Avoid this place like a plague I spent 20 for these 3 items,negative,29,25-50,156,<500
Went a couple of weeks ago The hype was still pretty high Got my pastries and got in in the long line There was a table in the middle of the queue where a worker was bagging the pastries so they wouldnt have to bag it up at the front register This table ended up making a very awkward gap in the queue  particularly if someone had a lot of stuff to be bagged it just back the line up I was next I only had 3 items so it wouldnt take long for me but while the guy was bagging my 3 items another employee who was originally manning the door let about 6 other people from behind me go past me leaving me now at least 6 peoples behind The people who cut me did not exactly understand that what they did wasnt cool cultural differences if you catch my drift Im not blaming them I told the worker well hey now those people cut me can I move to the front I was next he just kinda shrugged it off nervous about what to say I then told the girl who let those people in front of me she also just laughed and said ohhh  and continued on working I then told a different girl cleaning the lobby and explained what had happened she let me go next in line  They need to work on their queues theyre unorganized and take too long,negative,249,200-250,1270,1000-1500
Yum I love Jarlings I love the smell of the waffle cones inside I love the cute chinese food takeout boxes they pack the pints in I love sitting out on the wooden benches and watching the fourth of july fireworks and I love that cold fudge and  or butterscotch can be mixed into anything The new brownies that they use arent as good as the old ones though,positive,70,50-75,365,<500
The pastries are mediocre definitely not worth the time or money Save your time and go to Bouchon Bakery easily 10 times better The staff at Carlos bakery is incompetent at least the night I went We ordered 10 different items which for some reason took them 20 minutes to box up Before paying the gentleman showed us the boxes and asked if it looked correct upon examining the items we informed him that the order was not correct Another 20 minutes went by and finally the cashier called us over I asked her what was inside the boxes and explained how the first time around the order was screwed up her response to me was I dont know read the receipt how rude What if I was a tourist and was illiterate Long story short I got to my hotel room and yet again the order was wrong,negative,149,100-150,801,500-1000
This place really is a gem Very creative flavors nice owners always wanting to accomodate their customers etc They just seem like real donuts for lack of a better term They arent oversized or too sugary or slathered with too much icing that you dont even want to eatmany of the flavors are a good balance of sweet and salty Im partial to the raspberry cruellers  but Ive never had a bad donut there,positive,75,50-75,419,<500
Im originally from Cleveland OH Everyone loves Handels from back home Moved to Vegas awhile ago and I started getting cravings Happy to find a Handels right down the street Best ice cream in the country,positive,36,25-50,210,<500
How is possible with a French name Bouchon have such a terrible croissant Should have believed the Yelper who wrote that the pastries were staled and the bakery wasnt good We bought two croissants at 1045am one was almond the other was apple Those were probably the worst croissants we ever had They were so dry that they were coming apart like a crumbling cookie Thats just unacceptable for the name and the location We didnt complain and didnt return them but probably should have one bite and in the trash they go Should have gone back to Jean Philippe Patisserie in Aria which had better selection and top of the line pastries This review is for the bakery only Im sure the restaurant is a lot better I hope,negative,130,100-150,739,500-1000
Adorable place with fantastic donuts The creative donuts here are the reasons why I wanted to give this place a try Its like a new wave going on with donut chains popping up in cities I feel a little bad for the mom and pop shops theyre going to have to step up their game Its one thing to have cute and creative donuts but the most important part is that it has to taste good as well I wanted to try the pretzel shape donut but I didnt see it when I got there so the the worker told me about a french toast donut that was made fresh It took about several minutes to make and it tasted just like what it was called a French Toast Donut It was literally a french toast donut I also ordered the bitrhday donut with oreo inside and a glazed buttermilk for my boyfriend All the donuts we ordered exceeded or expectations I cant wait to come back next time and hopefully get my hands on the pretzel donut When youre there dont forget to check out their incredible aquarium created by the guys from TANKED,positive,195,150-200,1028,1000-1500
Novel has the best name because that is exactly what it is It unique and special and like nothing else The ice cream is really to die for or kill for if necessary Then of all things they take the deliciousness and place it between two halves of a warm decadent donut right Its a cute tiny shop with a lot to offer Super customer service the peeps running this show are very cool and not just cause there is ice cream in there Dont be a dumb and miss your chance for a mouth pleaser,positive,96,75-100,493,<500
You want it to be awesome You have this building sense of excitement as you walk the Grand Canal Shops like when you were a kid running down the stairs on Christmas morning Then you get thereand its all downhill from then on Now I grew up with these bakeries on Long Island its more than red and white string tied around a box thats makes an Italian bakery an Italian bakery Buddywhat happened I watched my wife wait an hour for her ticket number to come up and she had only 25 people ahead of her Yes you think a 3 minute wait time per customer is good right But not when you have 3 workers on the counter assisting Not only that the bakery service area is about the size of a small Starbucks Yet right across the hallway is Buddys signature restaurant and not only is it absolutely massive in size its absolutely dead inside I saw 3 four tops 2 bored hostesses and a line cook that probably regrets applying for a job there Why in the world did you not make a massive bakery area and a cute cafe type dinner place is beyond me Seriously you have Mario Batali just down another hall and thats good damn Italian food Youre a baker Buddy you should have just stuck with that and made a killing with a large quick paced bakery cranking out our East Coast patisserie memories Not a closet bakery with a huge show window with a guy filling cannolis Remember a fish may love a birdbut where would they live BTW the cannoli was great for what you can get on the West coastbut barely on par what I can get at my old bakery out on the Island,negative,297,250-300,1591,1500-2000
Absolutely wonderful customer service Everything here is delicious especially the ice cream and boba I highly recommend this place to anyone in the area looking for a treat,positive,28,25-50,174,<500
Ice cream good however I didnt try the flavors I wanted because the girl behind the counter made it feel as though her job was an inconvenience Got what sounded good but not ultimately what I wanted because I felt bad asking for different tasters,negative,45,25-50,249,<500
I tried the normal cereal milk one I wanted the birthday cake one but it had eggs and I am allergic So the cashier let me have the plain one no idea if that meant it didnt have eggs it was a weird transaction Anyway as for the hypeI dont get it Taste literally just like milk No other flavorkind of salty I had the crunch flakes on it too Kind of expensive after all that so I ate it all even though i wasnt in love They were also offering free samples of cookies or the ice cream to some people in line but I didnt get in on that  But I have a friend who went here multiple times was on their trip and tried all types of stuff and loved it So I guess if you like that salty sweet combo this is for you,negative,149,100-150,729,500-1000
I never write reviews but do not waste your time on the cookies I should have been suspicious since theyre packaged in plastic meaning they werent baked there Anyway they were so stale and hard that even heating them up in the oven didnt do them any justice Way too sweet and one dimensional like you can barely taste the chocolate chips Sadly I bought 6 of them such a waste,negative,71,50-75,390,<500
Cool concept trendy but really desserts and pastries Are dry no flavor I was expecting fresh flavorful pastries what I got was frozen out of a box,negative,27,25-50,148,<500
